"","region","mean_temp","sd_temp","n_cold_days"
"1","NorthWest",25.8520141666389,NA,0
"2","NorthEast",25.550009117689,NA,0
"3","SouthWest",26.9604594186112,NA,0
"4","SouthEast",26.8797116236923,NA,0
