"date","lat","lon","id","Size","BellColor","VesicleSize","VesicleColor","VesicleShape","nearest_logger_id","nearest_logger_dist"
2020-02-28,21.93295333,-72.05303883,39326381,"small","blue","n/a","n/a","n/a",8,923348.003017734
2020-01-05,24.5605407,-81.76389132,39334193,"small","brown","n/a","n/a","n/a",1,112807.946316016
2020-03-02,20.94937993,-87.01033757,39448363,"small","brown","n/a","n/a","n/a",7,667660.293294319
2020-03-13,25.02075066,-77.27423955,39937290,"medium","brown","n/a","n/a","n/a",8,312930.925637249
2020-03-16,24.55959567,-81.76677184,40080976,"medium","n/a","n/a","n/a","n/a",7,4297.58006711357
2020-01-05,21.18372644,-86.80544123,40343393,"medium","n/a","n/a","n/a","n/a",1,751963.733667489
2019-12-08,25.11174697,-80.41483583,40692162,"small","brown","small","white","round",8,11066.4127684535
2020-03-28,25.02861111,-80.49944444,41486894,"large","n/a","large","brown","slender",8,23298.6230580468
2020-04-22,24.65869206,-81.47566315,42911584,"large","blue","medium","blue","round",1,82784.5030677008
2020-04-25,26.93177583,-82.36252817,43353718,"large","n/a","medium","blue","slender",10,95895.8925033956
2013-04-26,21.56016065,-87.83590067,44156770,"medium","brown","medium","blue","slender",9,814991.018802808
2013-04-26,21.56016065,-87.83590067,44156901,"small","brown","medium","blue","round",9,814991.018802808
2019-08-25,25.3390561,-80.39543678,44519012,"small","blue","n/a","n/a","n/a",8,15279.7219994539
2020-04-26,25.02356574,-80.49480915,45088349,"small","brown","n/a","n/a","n/a",8,23521.2093951416
2019-06-14,25.08651501,-80.44728007,45092651,"small","white","n/a","n/a","n/a",8,15046.2876451652
2020-03-15,25.02935279,-80.50705142,45228718,"small","brown","n/a","n/a","n/a",8,23661.3325746638
2020-03-14,24.74728333,-80.98262833,45864745,"medium","blue","n/a","n/a","n/a",1,44248.7646190033
2020-05-22,27.30263845,-82.56734232,46860936,"medium","n/a","large","blue","slender",10,51317.9206541501
2020-06-22,25.08651501,-80.44728007,50605840,"medium","n/a","n/a","n/a","n/a",8,15046.2876451652
2019-04-18,24.739755,-80.982405,50661630,"large","n/a","n/a","n/a","n/a",2,12949.6072615153
2016-06-07,21.2242,-86.73222667,51730790,"small","brown","small","blue","round",1,743180.729367512
2020-07-07,24.8047663,-80.8475236,52300569,"small","white","n/a","n/a","n/a",2,28183.4691853494
2020-07-13,24.56821401,-81.77038528,52991300,"medium","white","n/a","n/a","n/a",2,69029.1594702389
2020-07-15,24.85481611,-80.73989935,53268070,"medium","brown","medium","blue","round",1,31113.7846687116
2020-07-27,25.18284868,-80.38952044,54531987,"medium","brown","small","blue","slender",8,2871.02426038081
2018-10-12,25.12905627,-80.38235134,54580968,"medium","blue","n/a","n/a","n/a",8,8337.63667904776
2020-07-27,25.10703309,-80.43234792,54704896,"medium","brown","n/a","n/a","n/a",8,12316.1941089091
2016-07-09,25.735254,-80.155389,55092078,"small","blue","n/a","n/a","n/a",1,96556.1240548608
2020-07-26,25.14240453,-80.41226194,55660140,"large","brown","small","white","round",8,7893.86001144639
2019-07-22,25.12550283,-80.40526667,56390324,"small","blue","n/a","n/a","n/a",8,9285.85091710531
2020-08-16,21.03687783,-86.79560833,56690368,"medium","blue","n/a","n/a","n/a",1,761058.145837843
2020-07-09,25.03457515,-81.53575066,56842689,"medium","brown","medium","blue","slender",2,56363.2618462114
2019-03-14,24.9598373,-80.57086289,57184749,"large","blue","medium","blue","round",1,32006.9513671735
2020-08-26,24.91488667,-80.64042,57642403,"medium","brown","large","blue","slender",1,30111.4782879493
2020-09-11,24.55949372,-81.78529675,59212017,"medium","brown","n/a","n/a","n/a",2,70725.7789406095
2020-09-20,24.6557833,-81.27972312,60221048,"large","brown","n/a","n/a","n/a",2,18568.0948453382
2017-02-12,25.67827571,-80.16324146,60825317,"medium","brown","large","brown","slender",6,5949.17422631516
2020-09-26,24.81558506,-80.8218526,60828394,"large","brown","small","brown","slender",2,31039.2279000218
2019-12-29,21.62256565,-81.56422097,60958777,"large","brown","n/a","n/a","n/a",1,396543.187607899
2014-07-02,21.15692139,-86.79651472,61974440,"large","n/a","small","brown","round",1,753014.276635057
2015-09-01,25.14801064,-80.39582005,62432874,"large","brown","small","blue","slender",8,6605.54077196584
2020-11-02,27.49691167,-82.66933333,64078945,"small","white","small","blue","round",10,29650.4833436089
2020-02-23,24.51041813,-75.93168064,64911436,"large","brown","medium","blue","slender",8,455094.645593141
2020-11-15,24.88495833,-80.69651167,64944518,"large","brown","medium","blue","slender",1,29703.4772010443
2020-11-23,24.66347304,-81.49726309,65498180,"medium","brown","n/a","n/a","n/a",2,39876.2631013451
2020-11-25,24.66126333,-81.54052833,65598664,"large","brown","small","blue","round",2,44247.9384775637
2020-11-26,24.56344402,-81.7519897,65783797,"large","brown","small","brown","slender",2,67347.9608535989
2020-11-30,24.5718095,-81.73217758,65903937,"medium","brown","small","blue","slender",2,65175.9396754529
2020-11-30,24.57181877,-81.73214716,65903972,"medium","brown","n/a","n/a","n/a",2,65172.7023630487
2020-11-29,25.150675,-80.39403667,65907392,"medium","brown","n/a","n/a","n/a",8,6264.52725326395
2017-06-06,24.75864723,-80.95926064,65981925,"small","blue","n/a","n/a","n/a",2,15803.5128719951
2020-08-31,24.57549777,-81.73607831,66030185,"medium","brown","small","white","round",2,65462.6385698685
2019-10-13,25.0885742,-80.55118465,66099571,"medium","brown","small","white","slender",8,22098.1734668294
2020-11-27,24.742438,-80.9828885,66259547,"medium","blue","medium","brown","slender",2,12979.4356417305
2020-12-09,24.66866333,-81.38709167,66338987,"small","brown","n/a","n/a","n/a",2,28768.5171242662
