"","region","total_observations","blue_bell_prop","brown_bell_prop","slender_vesicle_prop"
"1","NorthEast",86,0.104651162790698,0.744186046511628,0.578947368421053
"2","NorthWest",181,0.18232044198895,0.519337016574586,0.669014084507042
"3","SouthEast",598,0.247491638795987,0.464882943143813,0.382089552238806
"4","SouthWest",406,0.241379310344828,0.463054187192118,0.356807511737089
